jump_id,takeoff_timing_offset,takeoff_peak_velocity,telemark_scissor_mean,telemark_stability,landing_absorption_rate
JP0005,-10.0,292.1937977791156,,8.696056806064702,-0.0006596246237166453
JP0006,-4.0,565.8197395633649,0.22262947016779938,30.954887804270683,-0.0028940902422146253
JP0007,,,0.14410093267221513,11.832804922263648,-0.0016731739367296591
JP0008,,,,11.211969654803582,-0.002938010076583897
JP0009,-1.0,586.4790447903362,,8.383276451844527,0.0052085900706163105
JP0010,,,,,
JP0011,-4.0,484.4353694954249,0.028604180482547446,34.14744462826526,0.0035425321420461467
JP0012,0.0,517.0680734652982,0.18265477750382822,15.361798807561557,0.00043874620789401825
JP0013,1.0,459.72008078788747,,,
JP0015,,,,39.026078524599924,0.002149125865259817
JP0016,1.0,463.42767723666736,,33.04261811623721,-0.00044621609028488995
JP0017,,,,40.15008148516732,-0.0006672813465348135
JP0018,-10.0,115.56890309000977,,8.759442548211434,-0.00019520219157482394
JP0019,,,0.1904287954897389,23.000636586401118,-0.0024831590225732683
JP0021,,,,8.053392193156677,-0.00041615162019861124
JP0022,,,,14.49303682948106,0.0007322421113636901
JP0023,-7.0,494.76226467876165,,17.89258577257424,-0.0006002474020445556
JP0024,0.0,441.2995044651951,0.13071694989481492,11.357654864745932,0.00023886750456062616
JP0025,1.0,136.86265800908785,0.18594231368133068,71.05501423651202,-0.0002897464883651335
JP0026,0.0,373.8712559711223,,11.533774040061735,-0.002745654137831545
JP0028,0.0,675.8421601492807,0.23017130683420944,13.201743323428461,-0.0007953401395472195
JP0029,3.0,72.31360565539433,0.14137699482888957,10.371754248550658,0.0002355343443402949
JP0030,1.0,292.36353108815706,0.1728150723289329,31.735966874068573,0.0002406168123073038
